Obs_Report_Result : [

                           ______________________
                          |                      |
                          |   Observer Report    |
                          |______________________| 


___________________________________________________________________________________________________________


 TPIC   |    Vessel: Barbaros H.P | Client: Turkiye Petrolleri | Job No BPA000719 | Job name: LEFKOSA-4 3D | Area: Eastern Mediterra
___________________________________________________________________________________________________________


 Date: 29 Dec 2019  LineName: TPLA19-1018P1003               Sequence Number:     3
_________________________________________________________________________________________________________
          |          |           |         |         |    Gun string's pressure        |                 |
   Orca   |   Seal   |   Shot    |   File  |   Nav   |      STBD      |      PORT      |  DEAD CHANNELS  |
   Time   |   Time   |   Point   |  Number | Header  | GS 1/GS 2/GS 3 | GS 4/GS 5/GS 6 | OR OTHER ERRORS |
__________|__________|___________|_________|_________|________________|________________|_________________|
 00:12:07 | 00:12:07 |    1692.0 |    1037 |   5751  | 2002/1988/2004 | 2002/2000/2002 |   
 00:12:18 | 00:12:18 |    1693.0 |    1038 |   5751  | 2003/1995/2003 | 2003/1986/2003 |   
 00:12:29 | 00:12:29 |    1694.0 |    1039 |   5751  | 2004/1988/2006 | 2003/2002/2003 |   
 00:12:39 | 00:12:39 |    1695.0 |    1040 |   5751  | 2004/1996/2004 | 2005/1987/2005 |   
 00:12:50 | 00:12:50 |    1696.0 |    1041 |   5751  | 2006/1990/2007 | 2005/2003/2005 |   
 00:13:00 | 00:13:00 |    1697.0 |    1042 |   5751  | 2008/2001/2009 | 2007/1997/2008 |   
 00:13:11 | 00:13:11 |    1698.0 |    1043 |   5751  | 2007/1988/2008 | 2005/2003/2005 |   
 00:13:21 | 00:13:21 |    1699.0 |    1044 |   5751  | 2009/2002/2010 | 2009/1996/2009 |   
 00:13:32 | 00:13:32 |    1700.0 |    1045 |   5751  | 2009/1990/2009 | 2006/2004/2006 |   
 00:13:42 | 00:13:42 |    1701.0 |    1046 |   5751  | 2010/2003/2011 | 2010/1997/2010 |   
 00:13:53 | 00:13:53 |    1702.0 |    1047 |   5751  | 2010/1982/2010 | 2008/2006/2007 |   
 00:14:04 | 00:14:04 |    1703.0 |    1048 |   5751  | 2012/2004/2012 | 2012/1999/2011 |   
 00:14:14 | 00:14:14 |    1704.0 |    1049 |   5751  | 2011/1989/2010 | 2008/2006/2007 |   
 00:14:25 | 00:14:25 |    1705.0 |    1050 |   5751  | 2012/2004/2012 | 2012/1998/2011 |   
 00:14:35 | 00:14:35 |    1706.0 |    1051 |   5751  | 2012/1999/2015 | 2012/2011/2012 |   
 00:14:46 | 00:14:46 |    1707.0 |    1052 |   5751  | 2013/2005/2013 | 2013/1998/2013 |   
 00:14:56 | 00:14:56 |    1708.0 |    1053 |   5751  | 2013/1999/2015 | 2013/2011/2012 |   
 00:15:07 | 00:15:07 |    1709.0 |    1054 |   5751  | 2014/2005/2013 | 2013/1998/2013 |   
 00:15:18 | 00:15:18 |    1710.0 |    1055 |   5751  | 2015/1999/2016 | 2013/2012/2014 |   
 00:15:28 | 00:15:28 |    1711.0 |    1056 |   5751  | 2017/2010/2017 | 2016/2006/2017 |   
 00:15:38 | 00:15:38 |    1712.0 |    1057 |   5751  | 2016/1993/2017 | 2014/2013/2014 |   
 00:15:49 | 00:15:49 |    1713.0 |    1058 |   5751  | 2019/2011/2019 | 2016/2008/2017 |   
 00:16:00 | 00:16:00 |    1714.0 |    1059 |   5751  | 2017/1999/2018 | 2015/2013/2015 |   
 00:16:10 | 00:16:10 |    1715.0 |    1060 |   5751  | 2019/2012/2019 | 2018/2008/2018 |   
 00:16:21 | 00:16:21 |    1716.0 |    1061 |   5751  | 2018/2001/2019 | 2016/2014/2016 |   
 00:16:31 | 00:16:31 |    1717.0 |    1062 |   5751  | 2020/2012/2021 | 2019/2008/2020 |   
 00:16:42 | 00:16:42 |    1718.0 |    1063 |   5751  | 2019/2001/2020 | 2017/2015/2017 |   
 00:16:52 | 00:16:52 |    1719.0 |    1064 |   5751  | 2021/2014/2022 | 2020/2009/2021 |   
 00:17:03 | 00:17:03 |    1720.0 |    1065 |   5751  | 2020/2002/2020 | 2017/2015/2017 |   
 00:17:13 | 00:17:13 |    1721.0 |    1066 |   5751  | 2022/2014/2022 | 2021/2009/2021 |   
 00:17:24 | 00:17:24 |    1722.0 |    1067 |   5751  | 2021/2003/2022 | 2019/2017/2018 |   
 00:17:34 | 00:17:34 |    1723.0 |    1068 |   5751  | 2023/2015/2023 | 2022/2010/2022 |   
 00:17:45 | 00:17:45 |    1724.0 |    1069 |   5751  | 2021/2002/2021 | 2018/2016/2017 |   
 00:17:55 | 00:17:55 |    1725.0 |    1070 |   5751  | 2021/2014/2022 | 2021/2010/2021 |   
 00:18:06 | 00:18:06 |    1726.0 |    1071 |   5751  | 2021/2001/2021 | 2018/2017/2018 |   
 00:18:16 | 00:18:16 |    1727.0 |    1072 |   5751  | 2023/2015/2023 | 2022/2009/2022 |   
 00:18:27 | 00:18:27 |    1728.0 |    1073 |   5751  | 2022/1995/2022 | 2019/2017/2019 |   
 00:18:37 | 00:18:37 |    1729.0 |    1074 |   5751  | 2014/2006/2014 | 2013/2003/2013 |   
 00:18:48 | 00:18:48 |    1730.0 |    1075 |   5751  | 2014/1993/2014 | 2011/2009/2010 |   
 00:18:58 | 00:18:58 |    1731.0 |    1076 |   5751  | 2016/2009/2016 | 2015/2004/2015 |   
 00:19:09 | 00:19:09 |    1732.0 |    1077 |   5751  | 2015/1995/2015 | 2012/2011/2012 |   
 00:19:19 | 00:19:19 |    1733.0 |    1078 |   5751  | 2017/2009/2017 | 2016/2004/2016 |   
 00:19:30 | 00:19:30 |    1734.0 |    1079 |   5751  | 2017/1997/2017 | 2014/2012/2013 |   
 00:19:40 | 00:19:40 |    1735.0 |    1080 |   5751  | 2018/2010/2018 | 2018/2005/2017 |   
 00:19:51 | 00:19:51 |    1736.0 |    1081 |   5751  | 2018/1997/2017 | 2014/2012/2013 |   
 00:20:02 | 00:20:02 |    1737.0 |    1082 |   5751  | 2020/2011/2019 | 2019/2006/2018 |   
 00:20:12 | 00:20:12 |    1738.0 |    1083 |   5751  | 2019/2008/2022 | 2019/2018/2019 |   
 00:20:23 | 00:20:23 |    1739.0 |    1084 |   5751  | 2020/2010/2020 | 2020/2006/2020 |   
 00:20:33 | 00:20:33 |    1740.0 |    1085 |   5751  | 2020/1998/2019 | 2017/2014/2016 |   
 00:20:44 | 00:20:44 |    1741.0 |    1086 |   5751  | 2021/2013/2020 | 2021/2007/2021 |   
 00:20:54 | 00:20:54 |    1742.0 |    1087 |   5751  | 2021/1999/2020 | 2017/2015/2017 |   
 00:21:04 | 00:21:04 |    1743.0 |    1088 |   5751  | 2022/2014/2022 | 2021/2009/2021 |   
 00:21:15 | 00:21:15 |    1744.0 |    1089 |   5751  | 2021/2003/2021 | 2018/2016/2018 |   
 00:21:25 | 00:21:25 |    1745.0 |    1090 |   5751  | 2022/2014/2022 | 2021/2010/2021 |   
 00:21:36 | 00:21:36 |    1746.0 |    1091 |   5751  | 2020/2003/2021 | 2018/2016/2018 |   
 00:21:46 | 00:21:46 |    1747.0 |    1092 |   5751  | 2022/2015/2022 | 2021/2010/2022 |   
 00:21:57 | 00:21:57 |    1748.0 |    1093 |   5751  | 2021/2004/2023 | 2019/2018/2019 |   
 00:22:07 | 00:22:07 |    1749.0 |    1094 |   5751  | 2023/2015/2023 | 2021/2012/2022 |   
 00:22:18 | 00:22:18 |    1750.0 |    1095 |   5751  | 2022/2003/2022 | 2019/2017/2019 |   
 00:22:28 | 00:22:28 |    1751.0 |    1096 |   5751  | 2024/2016/2023 | 2023/2011/2023 |   
 00:22:39 | 00:22:39 |    1752.0 |    1097 |   5751  | 2023/1996/2023 | 2020/2018/2020 |   
 00:22:49 | 00:22:49 |    1753.0 |    1098 |   5751  | 2024/2016/2024 | 2023/2011/2024 |   
 00:23:00 | 00:23:00 |    1754.0 |    1099 |   5751  | 2022/2002/2023 | 2019/2018/2019 |   
 00:23:10 | 00:23:10 |    1755.0 |    1100 |   5751  | 2021/2013/2021 | 2020/2009/2020 |   
 00:23:21 | 00:23:21 |    1756.0 |    1101 |   5751  | 2019/2001/2019 | 2017/2015/2016 |   
 00:23:31 | 00:23:31 |    1757.0 |    1102 |   5751  | 2022/2014/2021 | 2020/2010/2021 |   
 00:23:42 | 00:23:42 |    1758.0 |    1103 |   5751  | 2021/1996/2022 | 2018/2016/2017 |   
 00:23:52 | 00:23:52 |    1759.0 |    1104 |   5751  | 2023/2015/2022 | 2021/2011/2022 |   
 00:24:03 | 00:24:03 |    1760.0 |    1105 |   5751  | 2022/1997/2022 | 2019/2017/2018 |   
 00:24:13 | 00:24:13 |    1761.0 |    1106 |   5751  | 2023/2015/2023 | 2022/2011/2023 |   
 00:24:24 | 00:24:24 |    1762.0 |    1107 |   5751  | 2022/1995/2022 | 2019/2017/2019 |   
 00:24:35 | 00:24:35 |    1763.0 |    1108 |   5751  | 2023/2015/2023 | 2023/2011/2023 |   
 00:24:45 | 00:24:45 |    1764.0 |    1109 |   5751  | 2023/2001/2022 | 2020/2018/2019 |   
 00:24:56 | 00:24:56 |    1765.0 |    1110 |   5751  | 2022/2014/2022 | 2022/2009/2022 |   
 00:25:06 | 00:25:06 |    1766.0 |    1111 |   5751  | 2021/2009/2024 | 2022/2020/2022 |   
 00:25:17 | 00:25:17 |    1767.0 |    1112 |   5751  | 2023/2015/2022 | 2023/2009/2023 |   
 00:25:27 | 00:25:27 |    1768.0 |    1113 |   5751  | 2022/2010/2025 | 2022/2020/2022 |   
 00:25:38 | 00:25:38 |    1769.0 |    1114 |   5751  | 2023/2015/2023 | 2023/2008/2023 |   
 00:25:48 | 00:25:48 |    1770.0 |    1115 |   5751  | 2021/2008/2024 | 2021/2020/2021 |   
